# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  1.14852E-01                5.15782162580734E+00   2.28721437890896E-06   6.07510814276791E-05   9.78915512959147E-05   1.47018152162293E-04
  2.06777E-01                5.22391406026168E+00   1.55931583623660E-06   4.40564540658044E-05   9.78923385020637E-05   1.47019359758780E-04
  2.90627E-01                5.25461767013850E+00   1.53818283790053E-06   3.51825094661743E-05   9.78925497750674E-05   1.47019501884947E-04
  4.06816E-01                5.27401414593444E+00   1.67483460520373E-06   2.90292301961214E-05   9.78921793178201E-05   1.47018731222298E-04
  5.19770E-01                5.28348051511399E+00   1.77301900656530E-06   2.59972301149228E-05   9.78917512824103E-05   1.47017897159494E-04
  6.48382E-01                5.28862402555443E+00   1.83301821792042E-06   2.43611350965321E-05   9.78915131824352E-05   1.47017434945795E-04
  8.02596E-01                5.29129300801868E+00   1.86540105591249E-06   2.35201850133031E-05   9.78915805571421E-05   1.47017477381714E-04
  9.76803E-01                5.29250139808138E+00   1.88040816532422E-06   2.31412947174223E-05   9.78934067771820E-05   1.47020189756655E-04
  1.00000E+00                5.29263773154041E+00   1.88209245723278E-06   2.30987745674879E-05   9.78936680253963E-05   1.47020573173126E-04
  1.04639E+00                5.29283194949364E+00   1.88453796681104E-06   2.30380459650536E-05   9.78944090747386E-05   1.47021685089952E-04
  1.13841E+00                5.29304270209808E+00   1.88737186516725E-06   2.29714476590289E-05   9.78970562893114E-05   1.47025660131869E-04
  1.27074E+00                5.29317463964314E+00   1.88982115225290E-06   2.29273885424451E-05   9.79064716815113E-05   1.47039803928775E-04
  1.45841E+00                5.29320800211236E+00   1.89443604973660E-06   2.29044414558626E-05   9.79541148669508E-05   1.47111373497953E-04
  1.68165E+00                5.29311552611983E+00   1.91029829422208E-06   2.28954490883845E-05   9.81429314071230E-05   1.47395042919879E-04
  1.95215E+00                5.29292029549933E+00   1.96732076919522E-06   2.28925924367504E-05   9.88151828479347E-05   1.48405047666267E-04
  2.25499E+00                5.29363102609361E+00   2.09866383943788E-06   2.28961933355860E-05   1.00536484172617E-04   1.50991717802632E-04
  2.60276E+00                5.30142369976865E+00   2.25454556688626E-06   2.29333052849555E-05   1.04232380510276E-04   1.56546736122932E-04
  2.98850E+00                5.33579521647817E+00   2.05940130340365E-06   2.30996557956092E-05   1.10471293190004E-04   1.65927539210535E-04
  3.42324E+00                5.43000741880382E+00   9.00130763829969E-07   2.36256155514408E-05   1.19383920113180E-04   1.79334857352027E-04
  3.90493E+00                5.59004893840883E+00  -1.33522996232574E-06   2.48259162561028E-05   1.29890973778529E-04   1.95152742255866E-04
  4.40493E+00                5.75529129360161E+00  -3.93156494498575E-06   2.66309506496430E-05   1.39858866747595E-04   2.10176314713816E-04
  4.90493E+00                5.87992217925522E+00  -6.27073351951148E-06   2.85308085342151E-05   1.47952272855881E-04   2.22389697901514E-04
  5.00000E+00                5.90034045061436E+00  -6.70427218501665E-06   2.88995406559153E-05   1.49455435430765E-04   2.24697508669536E-04
  5.19013E+00                5.93665945781926E+00  -7.50282036824003E-06   2.95938243437397E-05   1.52055922446873E-04   2.28614026103831E-04
  5.52094E+00                5.98511271664419E+00  -8.65394835345363E-06   3.06205692718408E-05   1.55610155494244E-04   2.33971234658706E-04
  5.98554E+00                6.02999595385570E+00  -9.81904640837415E-06   3.16810002066990E-05   1.58987173166132E-04   2.39069826313299E-04
  6.48554E+00                6.05958494459118E+00  -1.06455925907165E-05   3.24420361253824E-05   1.61236416603597E-04   2.42474399776959E-04
  6.98554E+00                6.07711589912146E+00  -1.11590664517336E-05   3.29178976770284E-05   1.62538922744469E-04   2.44449342274168E-04
  7.48554E+00                6.08714958789593E+00  -1.14613898567052E-05   3.31992614009563E-05   1.63230790323248E-04   2.45500236141038E-04
  7.98554E+00                6.09266839356808E+00  -1.16304356647892E-05   3.33570203546155E-05   1.63536714718910E-04   2.45967004606096E-04
  8.48554E+00                6.09556206330176E+00  -1.17198761343585E-05   3.34406326295818E-05   1.63589646794254E-04   2.46051220877173E-04
  8.98554E+00                6.09698263823961E+00  -1.17639638379508E-05   3.34818886368971E-05   1.63458168900653E-04   2.45857216588371E-04
  9.48554E+00                6.09760493752884E+00  -1.17832538254448E-05   3.34999462079182E-05   1.63170712219737E-04   2.45428567189904E-04
  9.98554E+00                6.09780897561630E+00  -1.17894637057398E-05   3.35057526884645E-05   1.62733826794063E-04   2.44775660286565E-04
  1.00000E+01                6.09781782164102E+00  -1.17896323231054E-05   3.35058989786235E-05   1.62720758408273E-04   2.44755729617788E-04
  1.00289E+01                6.09782779024552E+00  -1.17899296885216E-05   3.35061745256245E-05   1.62694737174388E-04   2.44716824258596E-04
  1.00868E+01                6.09784290173679E+00  -1.17903778695046E-05   3.35065931030064E-05   1.62640720649129E-04   2.44636060221508E-04
  1.02025E+01                6.09785759838405E+00  -1.17907929177227E-05   3.35069807314174E-05   1.62524774756246E-04   2.44462690375225E-04
  1.04339E+01                6.09784446599632E+00  -1.17902984852038E-05   3.35065139410393E-05   1.62260718635855E-04   2.44067826676916E-04
  1.08968E+01                6.09773163741493E+00  -1.17865908118946E-05   3.35030268455813E-05   1.61598414787069E-04   2.43077368129270E-04
  1.13968E+01                6.09756491576469E+00  -1.17810309294702E-05   3.34977890158750E-05   1.60722701491217E-04   2.41767237635987E-04
  1.18968E+01                6.09737680593673E+00  -1.17746965372022E-05   3.34918165809596E-05   1.59689162358527E-04   2.40220771490303E-04
  1.23968E+01                6.09717872280351E+00  -1.17679650929116E-05   3.34854651660857E-05   1.58506332820534E-04   2.38450814654850E-04
  1.28968E+01                6.09697687765466E+00  -1.17610364810477E-05   3.34789226947794E-05   1.57188378340076E-04   2.36478557086296E-04
  1.33968E+01                6.09677489719334E+00  -1.17540327088557E-05   3.34723042545016E-05   1.55753732719716E-04   2.34331573298305E-04
  1.38968E+01                6.09657491308689E+00  -1.17470310754947E-05   3.34656831629143E-05   1.54223522550160E-04   2.32041465864077E-04
  1.43968E+01                6.09637784301052E+00  -1.17400721842569E-05   3.34590984165009E-05   1.52620238575334E-04   2.29641879080068E-04
  1.48968E+01                6.09618359239984E+00  -1.17331657085254E-05   3.34525600558917E-05   1.50966709211904E-04   2.27166966041383E-04
  1.50000E+01                6.09615912107520E+00  -1.17317401095129E-05   3.34511750538834E-05   1.50622806115473E-04   2.26650434358321E-04
  1.52065E+01                6.09607568769345E+00  -1.17289014401605E-05   3.34484923544394E-05   1.49932228650998E-04   2.25617224007645E-04
  1.56195E+01                6.09590943706445E+00  -1.17232459158894E-05   3.34431557133443E-05   1.48536334662176E-04   2.23528694549764E-04
  1.61195E+01                6.09571464459093E+00  -1.17163969191327E-05   3.34366780982803E-05   1.46846425132119E-04   2.20999402963691E-04
  1.66195E+01                6.09552203814433E+00  -1.17095133301957E-05   3.34301593496639E-05   1.45176693473505E-04   2.18499793036251E-04
  1.71195E+01                6.09532716229551E+00  -1.17025765972887E-05   3.34235917628086E-05   1.43543823891517E-04   2.16055246574610E-04
  1.76195E+01                6.09512988163443E+00  -1.16955921758153E-05   3.34169815597021E-05   1.41961790631193E-04   2.13686701200588E-04
  1.81195E+01                6.09493080700909E+00  -1.16885867956692E-05   3.34103544698004E-05   1.40442015701051E-04   2.11411275744364E-04
  1.86195E+01                6.09473082570761E+00  -1.16815940588178E-05   3.34037424912607E-05   1.38993266606068E-04   2.09242114114693E-04
  1.91195E+01                6.09453059767950E+00  -1.16746388507216E-05   3.33971693152191E-05   1.37621814705892E-04   2.07188620573163E-04
  1.96195E+01                6.09433028942158E+00  -1.16677293358403E-05   3.33906428449277E-05   1.36331794863202E-04   2.05256998660741E-04
  2.00000E+01                6.09418118002083E+00  -1.16624945189839E-05   3.33856920524921E-05   1.35398642426938E-04   2.03859341291548E-04
  2.05000E+01                6.09397633373436E+00  -1.16556420897835E-05   3.33792343172732E-05   1.34257215519704E-04   2.02150495668161E-04
  2.10000E+01                6.09377340794489E+00  -1.16487924569825E-05   3.33727756558220E-05   1.33200111163998E-04   2.00567525622939E-04
  2.15000E+01                6.09356835462435E+00  -1.16419282750173E-05   3.33663072814456E-05   1.32226718245948E-04   1.99109887336462E-04
  2.20000E+01                6.09336093051873E+00  -1.16350418234901E-05   3.33598221762199E-05   1.31335079371761E-04   1.97774664568728E-04
  2.25000E+01                6.09315128101717E+00  -1.16281365047932E-05   3.33533234845089E-05   1.30522408313493E-04   1.96557698370137E-04
  2.30000E+01                6.09293979661295E+00  -1.16212227173467E-05   3.33468208292589E-05   1.29785156384657E-04   1.95453685925469E-04
  2.35000E+01                6.09272690729373E+00  -1.16143115583918E-05   3.33403244420045E-05   1.29119127458443E-04   1.94456352078392E-04
  2.40000E+01                6.09251292450072E+00  -1.16074100575241E-05   3.33338407086845E-05   1.28519653003455E-04   1.93558711577375E-04
  2.45000E+01                6.09229798941211E+00  -1.16005197399455E-05   3.33273708366357E-05   1.27981789099930E-04   1.92753364796012E-04
  2.50000E+01                6.09208211165824E+00  -1.15936379745741E-05   3.33209121307224E-05   1.27500489910721E-04   1.92032758240266E-04
  2.55000E+01                6.09186524512814E+00  -1.15867604208396E-05   3.33144602945002E-05   1.27070735725212E-04   1.91389376737882E-04
  2.60000E+01                6.09164735341284E+00  -1.15798831044512E-05   3.33080113795839E-05   1.26687619636227E-04   1.90815873352356E-04
