# Time          1.0000E+01
# Units: Dimensionless (Log10(Q/Keq)
    Distance           An50Ab50AS       Kaolinite        CO2_pump     
       1.2050E+00      -8.1661E+00       2.5990E-06      -1.0032E+03
       1.2150E+00      -8.1661E+00       2.5868E-06      -1.0032E+03
       1.2250E+00      -8.1662E+00       2.5737E-06      -1.0032E+03
       1.2350E+00      -8.1662E+00       2.5595E-06      -1.0032E+03
       1.2450E+00      -8.1663E+00       2.5443E-06      -1.0032E+03
       1.2550E+00      -8.1663E+00       2.5282E-06      -1.0032E+03
       1.2650E+00      -8.1664E+00       2.5110E-06      -1.0032E+03
       1.2750E+00      -8.1664E+00       2.4930E-06      -1.0032E+03
       1.2850E+00      -8.1665E+00       2.4740E-06      -1.0032E+03
       1.2950E+00      -8.1666E+00       2.4542E-06      -1.0032E+03
       1.3050E+00      -8.1666E+00       2.4335E-06      -1.0032E+03
       1.3150E+00      -8.1667E+00       2.4119E-06      -1.0032E+03
       1.3250E+00      -8.1667E+00       2.3896E-06      -1.0032E+03
       1.3350E+00      -8.1668E+00       2.3665E-06      -1.0032E+03
       1.3450E+00      -8.1669E+00       2.3426E-06      -1.0032E+03
       1.3550E+00      -8.1669E+00       2.3180E-06      -1.0032E+03
       1.3650E+00      -8.1670E+00       2.2927E-06      -1.0032E+03
       1.3750E+00      -8.1671E+00       2.2667E-06      -1.0032E+03
       1.3850E+00      -8.1671E+00       2.2401E-06      -1.0032E+03
       1.3950E+00      -8.1672E+00       2.2129E-06      -1.0032E+03
       1.4050E+00      -8.1673E+00       2.1851E-06      -1.0032E+03
       1.4150E+00      -8.1673E+00       2.1568E-06      -1.0032E+03
       1.4250E+00      -8.1674E+00       2.1279E-06      -1.0032E+03
       1.4350E+00      -8.1675E+00       2.0985E-06      -1.0032E+03
       1.4450E+00      -8.1675E+00       2.0687E-06      -1.0032E+03
       1.4550E+00      -8.1676E+00       2.0384E-06      -1.0032E+03
       1.4650E+00      -8.1677E+00       2.0077E-06      -1.0032E+03
       1.4750E+00      -8.1677E+00       1.9766E-06      -1.0032E+03
       1.4850E+00      -8.1678E+00       1.9452E-06      -1.0032E+03
       1.4950E+00      -8.1679E+00       1.9134E-06      -1.0032E+03
       1.5050E+00      -8.1679E+00       1.8814E-06      -1.0032E+03
       1.5150E+00      -8.1680E+00       1.8490E-06      -1.0032E+03
       1.5250E+00      -8.1681E+00       1.8165E-06      -1.0032E+03
       1.5350E+00      -8.1681E+00       1.7837E-06      -1.0032E+03
       1.5450E+00      -8.1682E+00       1.7507E-06      -1.0032E+03
       1.5550E+00      -8.1683E+00       1.7175E-06      -1.0032E+03
       1.5650E+00      -8.1683E+00       1.6842E-06      -1.0032E+03
       1.5750E+00      -8.1684E+00       1.6508E-06      -1.0032E+03
       1.5850E+00      -8.1685E+00       1.6173E-06      -1.0032E+03
       1.5950E+00      -8.1685E+00       1.5837E-06      -1.0032E+03
       1.6050E+00      -8.1686E+00       1.5500E-06      -1.0032E+03
       1.6150E+00      -8.1686E+00       1.5163E-06      -1.0032E+03
       1.6250E+00      -8.1687E+00       1.4826E-06      -1.0032E+03
       1.6350E+00      -8.1688E+00       1.4489E-06      -1.0032E+03
       1.6450E+00      -8.1688E+00       1.4152E-06      -1.0032E+03
       1.6550E+00      -8.1689E+00       1.3815E-06      -1.0032E+03
       1.6650E+00      -8.1689E+00       1.3479E-06      -1.0032E+03
       1.6750E+00      -8.1690E+00       1.3144E-06      -1.0032E+03
       1.6850E+00      -8.1691E+00       1.2809E-06      -1.0032E+03
       1.6950E+00      -8.1691E+00       1.2475E-06      -1.0032E+03
       1.7050E+00      -8.1692E+00       1.2142E-06      -1.0032E+03
       1.7150E+00      -8.1692E+00       1.1811E-06      -1.0032E+03
       1.7250E+00      -8.1693E+00       1.1480E-06      -1.0032E+03
       1.7350E+00      -8.1693E+00       1.1151E-06      -1.0032E+03
       1.7450E+00      -8.1694E+00       1.0823E-06      -1.0032E+03
       1.7550E+00      -8.1694E+00       1.0497E-06      -1.0032E+03
       1.7650E+00      -8.1695E+00       1.0172E-06      -1.0032E+03
       1.7750E+00      -8.1695E+00       9.8486E-07      -1.0032E+03
       1.7850E+00      -8.1696E+00       9.5268E-07      -1.0032E+03
       1.7950E+00      -8.1696E+00       9.2066E-07      -1.0032E+03
       1.8050E+00      -8.1697E+00       8.8880E-07      -1.0032E+03
       1.8150E+00      -8.1697E+00       8.5709E-07      -1.0032E+03
       1.8250E+00      -8.1698E+00       8.2555E-07      -1.0032E+03
       1.8350E+00      -8.1699E+00       7.9415E-07      -1.0032E+03
       1.8450E+00      -8.1699E+00       7.6291E-07      -1.0032E+03
       1.8550E+00      -8.1700E+00       7.3181E-07      -1.0032E+03
       1.8650E+00      -8.1700E+00       7.0086E-07      -1.0032E+03
       1.8750E+00      -8.1701E+00       6.7004E-07      -1.0032E+03
       1.8850E+00      -8.1701E+00       6.3934E-07      -1.0032E+03
       1.8950E+00      -8.1702E+00       6.0876E-07      -1.0032E+03
       1.9050E+00      -8.1702E+00       5.7829E-07      -1.0032E+03
       1.9150E+00      -8.1703E+00       5.4791E-07      -1.0032E+03
       1.9250E+00      -8.1703E+00       5.1762E-07      -1.0032E+03
       1.9350E+00      -8.1704E+00       4.8741E-07      -1.0032E+03
