# Time          3.5000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       2.0500E-01       5.9954E+00      -5.9769E+00      -4.6830E+00      -3.9143E+00      -3.7322E+00      -4.6990E+00      -4.8188E+00      -3.0928E+00      -9.1973E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.9459E+00      -8.2306E+00      -8.2411E+00      -7.4952E+00      -1.0473E+01      -5.0092E+00      -1.5709E+01      -7.8089E+00      -8.3010E+00      -8.7457E+00      -9.2248E+00      -7.1137E+00      -1.2122E+01      -6.9001E+00      -1.0234E+01      -1.1916E+01      -7.9759E+00      -9.2800E+00      -9.8515E+00      -7.7754E+00      -1.0379E+01      -7.9657E+00      -1.1942E+01      -7.9858E+00
       2.1500E-01       6.0279E+00      -6.0095E+00      -4.6815E+00      -3.9139E+00      -3.7319E+00      -4.6990E+00      -4.8023E+00      -3.0927E+00      -9.3116E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.9951E+00      -8.2148E+00      -8.3228E+00      -7.4948E+00      -1.0473E+01      -4.9751E+00      -1.5627E+01      -7.8256E+00      -8.3335E+00      -8.6967E+00      -9.2248E+00      -7.1133E+00      -1.2106E+01      -6.9000E+00      -1.0185E+01      -1.1883E+01      -7.9434E+00      -9.2133E+00      -9.7845E+00      -7.7410E+00      -1.0312E+01      -7.9312E+00      -1.1875E+01      -7.9516E+00
       2.2500E-01       6.0547E+00      -6.0362E+00      -4.6803E+00      -3.9136E+00      -3.7315E+00      -4.6990E+00      -4.7885E+00      -3.0925E+00      -9.4057E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.0358E+00      -8.2020E+00      -8.3902E+00      -7.4945E+00      -1.0473E+01      -4.9473E+00      -1.5560E+01      -7.8396E+00      -8.3603E+00      -8.6562E+00      -9.2248E+00      -7.1130E+00      -1.2093E+01      -6.8999E+00      -1.0144E+01      -1.1856E+01      -7.9166E+00      -9.1588E+00      -9.7296E+00      -7.7128E+00      -1.0257E+01      -7.9030E+00      -1.1820E+01      -7.9236E+00
       2.3500E-01       6.0746E+00      -6.0561E+00      -4.6796E+00      -3.9132E+00      -3.7313E+00      -4.6990E+00      -4.7780E+00      -3.0924E+00      -9.4762E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.0664E+00      -8.1927E+00      -8.4408E+00      -7.4943E+00      -1.0473E+01      -4.9266E+00      -1.5510E+01      -7.8503E+00      -8.3802E+00      -8.6258E+00      -9.2248E+00      -7.1126E+00      -1.2084E+01      -6.8998E+00      -1.0114E+01      -1.1836E+01      -7.8967E+00      -9.1181E+00      -9.6888E+00      -7.6919E+00      -1.0216E+01      -7.8820E+00      -1.1780E+01      -7.9028E+00
       2.4500E-01       6.0861E+00      -6.0676E+00      -4.6792E+00      -3.9130E+00      -3.7312E+00      -4.6990E+00      -4.7720E+00      -3.0924E+00      -9.5228E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.0901E+00      -8.1934E+00      -8.4759E+00      -7.4943E+00      -1.0473E+01      -4.9147E+00      -1.5481E+01      -7.8624E+00      -8.3917E+00      -8.6082E+00      -9.2249E+00      -7.1124E+00      -1.2084E+01      -6.8997E+00      -1.0096E+01      -1.1825E+01      -7.8852E+00      -9.0948E+00      -9.6654E+00      -7.6800E+00      -1.0193E+01      -7.8699E+00      -1.1756E+01      -7.8909E+00
       2.5500E-01       6.0859E+00      -6.0674E+00      -4.6792E+00      -3.9128E+00      -3.7314E+00      -4.6990E+00      -4.7724E+00      -3.0924E+00      -9.8708E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.4384E+00      -8.5421E+00      -8.8241E+00      -7.4944E+00      -1.0473E+01      -4.9149E+00      -1.5481E+01      -8.2109E+00      -8.3915E+00      -8.6088E+00      -9.2249E+00      -7.1122E+00      -1.2433E+01      -6.8997E+00      -1.0097E+01      -1.1825E+01      -7.8854E+00      -9.0951E+00      -9.6658E+00      -7.6803E+00      -1.0193E+01      -7.8699E+00      -1.1757E+01      -7.8910E+00
       2.6500E-01       6.0859E+00      -6.0674E+00      -4.6792E+00      -3.9126E+00      -3.7315E+00      -4.6990E+00      -4.7725E+00      -3.0924E+00      -9.9155E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.4832E+00      -8.5868E+00      -8.8688E+00      -7.4945E+00      -1.0473E+01      -4.9149E+00      -1.5482E+01      -8.2557E+00      -8.3915E+00      -8.6089E+00      -9.2249E+00      -7.1120E+00      -1.2478E+01      -6.8997E+00      -1.0097E+01      -1.1825E+01      -7.8854E+00      -9.0951E+00      -9.6660E+00      -7.6804E+00      -1.0193E+01      -7.8697E+00      -1.1757E+01      -7.8910E+00
       2.7500E-01       6.0859E+00      -6.0674E+00      -4.6792E+00      -3.9125E+00      -3.7316E+00      -4.6990E+00      -4.7725E+00      -3.0924E+00      -9.9195E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.4871E+00      -8.5908E+00      -8.8728E+00      -7.4946E+00      -1.0473E+01      -4.9149E+00      -1.5482E+01      -8.2597E+00      -8.3915E+00      -8.6089E+00      -9.2249E+00      -7.1119E+00      -1.2482E+01      -6.8997E+00      -1.0097E+01      -1.1825E+01      -7.8854E+00      -9.0951E+00      -9.6660E+00      -7.6805E+00      -1.0193E+01      -7.8695E+00      -1.1757E+01      -7.8910E+00
       2.8500E-01       6.0860E+00      -6.0675E+00      -4.6792E+00      -3.9123E+00      -3.7317E+00      -4.6990E+00      -4.7724E+00      -3.0924E+00      -9.9199E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.4875E+00      -8.5911E+00      -8.8732E+00      -7.4947E+00      -1.0473E+01      -4.9149E+00      -1.5481E+01      -8.2600E+00      -8.3915E+00      -8.6089E+00      -9.2249E+00      -7.1117E+00      -1.2482E+01      -6.8997E+00      -1.0097E+01      -1.1825E+01      -7.8854E+00      -9.0951E+00      -9.6661E+00      -7.6806E+00      -1.0192E+01      -7.8694E+00      -1.1757E+01      -7.8910E+00
       2.9500E-01       6.0860E+00      -6.0675E+00      -4.6792E+00      -3.9122E+00      -3.7318E+00      -4.6990E+00      -4.7724E+00      -3.0924E+00      -9.9200E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.4875E+00      -8.5912E+00      -8.8732E+00      -7.4948E+00      -1.0473E+01      -4.9149E+00      -1.5481E+01      -8.2600E+00      -8.3916E+00      -8.6088E+00      -9.2249E+00      -7.1116E+00      -1.2482E+01      -6.8997E+00      -1.0097E+01      -1.1825E+01      -7.8853E+00      -9.0950E+00      -9.6662E+00      -7.6807E+00      -1.0192E+01      -7.8692E+00      -1.1757E+01      -7.8910E+00
