# Time          1.0000E+00
# Units: Bars
    Distance        CO2(g)          
       2.8150E+00       6.2147E-04
       2.8250E+00       6.2147E-04
       2.8350E+00       6.2147E-04
       2.8450E+00       6.2148E-04
       2.8550E+00       6.2148E-04
       2.8650E+00       6.2148E-04
       2.8750E+00       6.2149E-04
       2.8850E+00       6.2149E-04
       2.8950E+00       6.2149E-04
       2.9050E+00       6.2149E-04
       2.9150E+00       6.2149E-04
       2.9250E+00       6.2149E-04
       2.9350E+00       6.2150E-04
       2.9450E+00       6.2150E-04
       2.9550E+00       6.2150E-04
       2.9650E+00       6.2150E-04
       2.9750E+00       6.2150E-04
       2.9850E+00       6.2150E-04
       2.9950E+00       6.2150E-04
