# Time          4.0000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       1.4150E+00       1.8433E-06       1.3665E-07       3.7669E-05       1.8606E-05
       1.4250E+00       1.8433E-06       1.3660E-07       3.7669E-05       1.8606E-05
       1.4350E+00       1.8433E-06       1.3655E-07       3.7669E-05       1.8606E-05
       1.4450E+00       1.8433E-06       1.3650E-07       3.7669E-05       1.8606E-05
       1.4550E+00       1.8432E-06       1.3644E-07       3.7669E-05       1.8606E-05
       1.4650E+00       1.8432E-06       1.3639E-07       3.7669E-05       1.8606E-05
       1.4750E+00       1.8432E-06       1.3633E-07       3.7669E-05       1.8606E-05
       1.4850E+00       1.8432E-06       1.3627E-07       3.7669E-05       1.8606E-05
       1.4950E+00       1.8431E-06       1.3621E-07       3.7669E-05       1.8606E-05
       1.5050E+00       1.8431E-06       1.3614E-07       3.7669E-05       1.8606E-05
       1.5150E+00       1.8431E-06       1.3607E-07       3.7669E-05       1.8606E-05
       1.5250E+00       1.8431E-06       1.3600E-07       3.7669E-05       1.8606E-05
       1.5350E+00       1.8430E-06       1.3593E-07       3.7669E-05       1.8606E-05
       1.5450E+00       1.8430E-06       1.3586E-07       3.7669E-05       1.8606E-05
       1.5550E+00       1.8430E-06       1.3578E-07       3.7669E-05       1.8606E-05
       1.5650E+00       1.8429E-06       1.3570E-07       3.7669E-05       1.8606E-05
       1.5750E+00       1.8429E-06       1.3561E-07       3.7669E-05       1.8606E-05
       1.5850E+00       1.8428E-06       1.3553E-07       3.7669E-05       1.8606E-05
       1.5950E+00       1.8428E-06       1.3544E-07       3.7669E-05       1.8606E-05
       1.6050E+00       1.8428E-06       1.3534E-07       3.7669E-05       1.8606E-05
       1.6150E+00       1.8427E-06       1.3525E-07       3.7670E-05       1.8606E-05
       1.6250E+00       1.8427E-06       1.3515E-07       3.7670E-05       1.8607E-05
       1.6350E+00       1.8426E-06       1.3505E-07       3.7670E-05       1.8607E-05
       1.6450E+00       1.8426E-06       1.3494E-07       3.7670E-05       1.8607E-05
       1.6550E+00       1.8425E-06       1.3483E-07       3.7670E-05       1.8607E-05
       1.6650E+00       1.8425E-06       1.3472E-07       3.7670E-05       1.8607E-05
       1.6750E+00       1.8424E-06       1.3460E-07       3.7670E-05       1.8607E-05
       1.6850E+00       1.8424E-06       1.3448E-07       3.7670E-05       1.8607E-05
       1.6950E+00       1.8423E-06       1.3436E-07       3.7670E-05       1.8607E-05
       1.7050E+00       1.8423E-06       1.3423E-07       3.7670E-05       1.8607E-05
       1.7150E+00       1.8422E-06       1.3410E-07       3.7670E-05       1.8607E-05
       1.7250E+00       1.8422E-06       1.3396E-07       3.7670E-05       1.8607E-05
       1.7350E+00       1.8421E-06       1.3382E-07       3.7670E-05       1.8607E-05
       1.7450E+00       1.8420E-06       1.3368E-07       3.7670E-05       1.8607E-05
       1.7550E+00       1.8420E-06       1.3353E-07       3.7670E-05       1.8607E-05
       1.7650E+00       1.8419E-06       1.3338E-07       3.7670E-05       1.8607E-05
       1.7750E+00       1.8418E-06       1.3323E-07       3.7670E-05       1.8607E-05
       1.7850E+00       1.8418E-06       1.3307E-07       3.7670E-05       1.8607E-05
       1.7950E+00       1.8417E-06       1.3290E-07       3.7671E-05       1.8607E-05
       1.8050E+00       1.8416E-06       1.3273E-07       3.7671E-05       1.8607E-05
       1.8150E+00       1.8415E-06       1.3256E-07       3.7671E-05       1.8607E-05
       1.8250E+00       1.8415E-06       1.3238E-07       3.7671E-05       1.8607E-05
       1.8350E+00       1.8414E-06       1.3220E-07       3.7671E-05       1.8607E-05
       1.8450E+00       1.8413E-06       1.3202E-07       3.7671E-05       1.8607E-05
       1.8550E+00       1.8412E-06       1.3182E-07       3.7671E-05       1.8607E-05
       1.8650E+00       1.8411E-06       1.3163E-07       3.7671E-05       1.8608E-05
       1.8750E+00       1.8410E-06       1.3143E-07       3.7671E-05       1.8608E-05
       1.8850E+00       1.8410E-06       1.3122E-07       3.7671E-05       1.8608E-05
       1.8950E+00       1.8409E-06       1.3101E-07       3.7671E-05       1.8608E-05
       1.9050E+00       1.8408E-06       1.3080E-07       3.7671E-05       1.8608E-05
       1.9150E+00       1.8407E-06       1.3058E-07       3.7672E-05       1.8608E-05
       1.9250E+00       1.8406E-06       1.3036E-07       3.7672E-05       1.8608E-05
       1.9350E+00       1.8405E-06       1.3013E-07       3.7672E-05       1.8608E-05
       1.9450E+00       1.8404E-06       1.2990E-07       3.7672E-05       1.8608E-05
       1.9550E+00       1.8403E-06       1.2966E-07       3.7672E-05       1.8608E-05
       1.9650E+00       1.8402E-06       1.2941E-07       3.7672E-05       1.8608E-05
       1.9750E+00       1.8400E-06       1.2917E-07       3.7672E-05       1.8608E-05
       1.9850E+00       1.8399E-06       1.2891E-07       3.7672E-05       1.8608E-05
       1.9950E+00       1.8398E-06       1.2866E-07       3.7672E-05       1.8608E-05
       2.0050E+00       1.8397E-06       1.2840E-07       3.7672E-05       1.8608E-05
       2.0150E+00       1.8396E-06       1.2813E-07       3.7673E-05       1.8609E-05
       2.0250E+00       1.8395E-06       1.2786E-07       3.7673E-05       1.8609E-05
       2.0350E+00       1.8393E-06       1.2758E-07       3.7673E-05       1.8609E-05
       2.0450E+00       1.8392E-06       1.2730E-07       3.7673E-05       1.8609E-05
       2.0550E+00       1.8391E-06       1.2702E-07       3.7673E-05       1.8609E-05
       2.0650E+00       1.8389E-06       1.2673E-07       3.7673E-05       1.8609E-05
       2.0750E+00       1.8388E-06       1.2643E-07       3.7673E-05       1.8609E-05
       2.0850E+00       1.8387E-06       1.2613E-07       3.7673E-05       1.8609E-05
       2.0950E+00       1.8385E-06       1.2583E-07       3.7674E-05       1.8609E-05
       2.1050E+00       1.8384E-06       1.2552E-07       3.7674E-05       1.8609E-05
       2.1150E+00       1.8383E-06       1.2521E-07       3.7674E-05       1.8609E-05
       2.1250E+00       1.8381E-06       1.2490E-07       3.7674E-05       1.8609E-05
       2.1350E+00       1.8380E-06       1.2458E-07       3.7674E-05       1.8610E-05
       2.1450E+00       1.8378E-06       1.2425E-07       3.7674E-05       1.8610E-05
