# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  1.50000E+01                6.09615912083412E+00  -1.17317401099383E-05   3.34511750557443E-05   1.50622806157949E-04   2.26650434427161E-04
  1.52065E+01                6.09607568651239E+00  -1.17289014086445E-05   3.34484923261798E-05   1.49932220824437E-04   2.25617212303140E-04
  1.56195E+01                6.09590943401291E+00  -1.17232458207196E-05   3.34431556250770E-05   1.48536310958171E-04   2.23528659088437E-04
  1.61195E+01                6.09571464171824E+00  -1.17163968237280E-05   3.34366780093184E-05   1.46846401601938E-04   2.20999367739623E-04
  1.66195E+01                6.09552203525150E+00  -1.17095132343406E-05   3.34301592602444E-05   1.45176670381052E-04   2.18499758465710E-04
  1.71195E+01                6.09532715938344E+00  -1.17025765011633E-05   3.34235916732014E-05   1.43543801448619E-04   2.16055212974978E-04
  1.76195E+01                6.09512987871669E+00  -1.16955920799654E-05   3.34169814704003E-05   1.41961769012952E-04   2.13686668834280E-04
  1.81195E+01                6.09493080410245E+00  -1.16885867007059E-05   3.34103543813483E-05   1.40441995042232E-04   2.11411244813379E-04
  1.86195E+01                6.09473082282126E+00  -1.16815939650879E-05   3.34037424040256E-05   1.38993247002918E-04   2.09242084763312E-04
  1.91195E+01                6.09453059480976E+00  -1.16746387581569E-05   3.33971692291302E-05   1.37621796222669E-04   2.07188592897730E-04
  1.96195E+01                6.09433028655474E+00  -1.16677292440322E-05   3.33906427596113E-05   1.36331777539679E-04   2.05256972720947E-04
  2.00000E+01                6.09418118016040E+00  -1.16624945232714E-05   3.33856920573992E-05   1.35398642257060E-04   2.03859341016169E-04
  2.05000E+01                6.09397633365607E+00  -1.16556420936884E-05   3.33792343222783E-05   1.34257215365265E-04   2.02150495436811E-04
  2.10000E+01                6.09377340784188E+00  -1.16487924601191E-05   3.33727756601335E-05   1.33200111000754E-04   2.00567525378353E-04
  2.15000E+01                6.09356835448085E+00  -1.16419282769220E-05   3.33663072846312E-05   1.32226718074258E-04   1.99109887079114E-04
  2.20000E+01                6.09336093032043E+00  -1.16350418236992E-05   3.33598221778254E-05   1.31335079193769E-04   1.97774664301825E-04
  2.25000E+01                6.09315128075547E+00  -1.16281365030617E-05   3.33533234842440E-05   1.30522408135303E-04   1.96557698102856E-04
  2.30000E+01                6.09293979629279E+00  -1.16212227138175E-05   3.33468208273200E-05   1.29785156215301E-04   1.95453685671414E-04
  2.35000E+01                6.09272690693148E+00  -1.16143115535909E-05   3.33403244388983E-05   1.29119127306503E-04   1.94456351850504E-04
  2.40000E+01                6.09251292411979E+00  -1.16074100521905E-05   3.33338407050704E-05   1.28519652873910E-04   1.93558711383169E-04
  2.45000E+01                6.09229798903665E+00  -1.16005197348049E-05   3.33273708332269E-05   1.27981788993114E-04   1.92753364636003E-04
  2.50000E+01                6.09208211130618E+00  -1.15936379701652E-05   3.33209121280097E-05   1.27500489823387E-04   1.92032758109560E-04
  2.55000E+01                6.09186524480943E+00  -1.15867604174449E-05   3.33144602926976E-05   1.27070735652566E-04   1.91389376629251E-04
  2.60000E+01                6.09164735312775E+00  -1.15798831021207E-05   3.33080113788072E-05   1.26687619573724E-04   1.90815873258944E-04
  2.65000E+01                6.09142844327383E+00  -1.15730034812382E-05   3.33015627856469E-05   1.26346408319234E-04   1.90305160332488E-04
  2.70000E+01                6.09120856959415E+00  -1.15661205783150E-05   3.32951133879827E-05   1.26042590592219E-04   1.89850481743559E-04
  2.75000E+01                6.09098782041393E+00  -1.15592345885980E-05   3.32886631673556E-05   1.25771918843495E-04   1.89445475492629E-04
  2.80000E+01                6.09076629998357E+00  -1.15523463440138E-05   3.32822127125963E-05   1.25530444537008E-04   1.89084226569265E-04
  2.85000E+01                6.09054411340697E+00  -1.15454568710603E-05   3.32757628077888E-05   1.25314544651870E-04   1.88761306768770E-04
  2.90000E+01                6.09032135723387E+00  -1.15385671192018E-05   3.32693141793013E-05   1.25120937577261E-04   1.88471798645719E-04
  2.95000E+01                6.09009811523671E+00  -1.15316778421877E-05   3.32628673857615E-05   1.24946688006271E-04   1.88211302988423E-04
  3.00000E+01                6.08987445771034E+00  -1.15247895798408E-05   3.32564228015478E-05   1.24789201770849E-04   1.87975931212996E-04
  3.05000E+01                6.08965044261633E+00  -1.15179026897443E-05   3.32499806461293E-05   1.24646212349256E-04   1.87762285267223E-04
  3.10000E+01                6.08942611739784E+00  -1.15110173941738E-05   3.32435410274523E-05   1.24515761045789E-04   1.87567428041012E-04
  3.15000E+01                6.08920152082462E+00  -1.15041338239405E-05   3.32371039820863E-05   1.24396172776932E-04   1.87388847182931E-04
  3.20000E+01                6.08897668459251E+00  -1.14972520522890E-05   3.32306695057392E-05   1.24286029172377E-04   1.87224414883794E-04
  3.25000E+01                6.08875163461439E+00  -1.14903721182792E-05   3.32242375738538E-05   1.24184140423520E-04   1.87072345774192E-04
  3.30000E+01                6.08852639206412E+00  -1.14834940416594E-05   3.32178081541345E-05   1.24089517038068E-04   1.86931154671937E-04
  3.35000E+01                6.08830097420129E+00  -1.14766178317490E-05   3.32113812136652E-05   1.24001342406378E-04   1.86799615536052E-04
  3.40000E+01                6.08807539505403E+00  -1.14697434924734E-05   3.32049567221401E-05   1.23918946858120E-04   1.86676722643912E-04
  3.45000E+01                6.08784966599866E+00  -1.14628710250932E-05   3.31985346534603E-05   1.23841783687399E-04   1.86561654707972E-04
  3.50000E+01                6.08762379624052E+00  -1.14560004296207E-05   3.31921149856707E-05   1.23769407450972E-04   1.86453742388830E-04
  3.55000E+01                6.08739779324369E+00  -1.14491317055279E-05   3.31856977008244E-05   1.23701454697746E-04   1.86352439442184E-04
  3.60000E+01                6.08717166308117E+00  -1.14422648520821E-05   3.31792827843286E-05   1.23637627168475E-04   1.86257297558682E-04
  3.65000E+01                6.08694541075008E+00  -1.14353998684969E-05   3.31728702242308E-05   1.23577677410800E-04   1.86167944815381E-04
  3.70000E+01                6.08671904042451E+00  -1.14285367539929E-05   3.31664600108063E-05   1.23521396685307E-04   1.86084067553418E-04
  3.75000E+01                6.08649255566851E+00  -1.14216755078172E-05   3.31600521358025E-05   1.23468604989783E-04   1.86005395423960E-04
  3.80000E+01                6.08626595961198E+00  -1.14148161292460E-05   3.31536465921949E-05   1.23419142998488E-04   1.85931689298966E-04
  3.85000E+01                6.08603925508450E+00  -1.14079586175793E-05   3.31472433736926E-05   1.23372865697939E-04   1.85862731720284E-04
  3.90000E+01                6.08581244472486E+00  -1.14011029721346E-05   3.31408424744054E-05   1.23329637496919E-04   1.85798319554951E-04
  3.95000E+01                6.08558553105811E+00  -1.13942491922414E-05   3.31344438888461E-05   1.23289328593742E-04   1.85738258532376E-04
  4.00000E+01                6.08535851655579E+00  -1.13873972772355E-05   3.31280476114598E-05   1.23251812395313E-04   1.85682359356307E-04
  4.05000E+01                6.08513140367029E+00  -1.13805472264558E-05   3.31216536367897E-05   1.23216963798513E-04   1.85630435108339E-04
  4.10000E+01                6.08490419486073E+00  -1.13736990392418E-05   3.31152619591772E-05   1.23184658162873E-04   1.85582299687217E-04
  4.15000E+01                6.08467689260361E+00  -1.13668527149327E-05   3.31088725729842E-05   1.23154770823253E-04   1.85537767057769E-04
  4.20000E+01                6.08444949939509E+00  -1.13600082528655E-05   3.31024854723030E-05   1.23127177011152E-04   1.85496651112950E-04
  4.25000E+01                6.08422201774676E+00  -1.13531656523767E-05   3.30961006512286E-05   1.23101752072668E-04   1.85458765981533E-04
  4.30000E+01                6.08399445017540E+00  -1.13463249128012E-05   3.30897181036922E-05   1.23078371889401E-04   1.85423926641245E-04
  4.35000E+01                6.08376679919232E+00  -1.13394860334744E-05   3.30833378235528E-05   1.23056913425451E-04   1.85391949722372E-04
  4.40000E+01                6.08353906728842E+00  -1.13326490137322E-05   3.30769598046621E-05   1.23037255338893E-04   1.85362654409582E-04
  4.45000E+01                6.08331125692109E+00  -1.13258138529127E-05   3.30705840409355E-05   1.23019278609547E-04   1.85335863369804E-04
  4.50000E+01                6.08308337049760E+00  -1.13189805503572E-05   3.30642105262774E-05   1.23002867146610E-04   1.85311403651597E-04
  4.55000E+01                6.08285541036469E+00  -1.13121491054112E-05   3.30578392547179E-05   1.22987908349693E-04   1.85289107516310E-04
  4.60000E+01                6.08262737879582E+00  -1.13053195174251E-05   3.30514702204586E-05   1.22974293605282E-04   1.85268813174003E-04
  4.65000E+01                6.08239927797972E+00  -1.12984917857557E-05   3.30451034178305E-05   1.22961918707470E-04   1.85250365407369E-04
  4.70000E+01                6.08217111001344E+00  -1.12916659097663E-05   3.30387388413723E-05   1.22950684197462E-04   1.85233616075290E-04
  4.75000E+01                6.08194287689437E+00  -1.12848418888279E-05   3.30323764858516E-05   1.22940495620711E-04   1.85218424494178E-04
  4.80000E+01                6.08171458051671E+00  -1.12780197223192E-05   3.30260163462391E-05   1.22931263703864E-04   1.85204657700293E-04
  4.85000E+01                6.08148622266744E+00  -1.12711994096274E-05   3.30196584178024E-05   1.22922904456178E-04   1.85192190599845E-04
  4.90000E+01                6.08125780502222E+00  -1.12643809501478E-05   3.30133026960124E-05   1.22915339201745E-04   1.85180906016292E-04
  4.95000E+01                6.08102932915248E+00  -1.12575643432844E-05   3.30069491767166E-05   1.22908494549912E-04   1.85170694645767E-04
  5.00000E+01                6.08080079651579E+00  -1.12507495884500E-05   3.30005978558640E-05   1.22902302311900E-04   1.85161454932503E-04
