# Time          1.0000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       5.1500E-01      -1.1757E-05       3.3474E-05       1.2796E-04       1.9273E-04       1.5410E-05       1.7125E-05       7.8809E-04       1.2506E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.2500E-01      -1.1757E-05       3.3474E-05       1.2815E-04       1.9301E-04       1.5328E-05       1.7125E-05       7.8723E-04       1.2506E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.3500E-01      -1.1758E-05       3.3474E-05       1.2834E-04       1.9330E-04       1.5248E-05       1.7125E-05       7.8635E-04       1.2506E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.4500E-01      -1.1758E-05       3.3475E-05       1.2854E-04       1.9360E-04       1.5170E-05       1.7125E-05       7.8545E-04       1.2506E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.5500E-01      -1.1758E-05       3.3475E-05       1.2874E-04       1.9390E-04       1.5094E-05       1.7125E-05       7.8452E-04       1.2506E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.6500E-01      -1.1759E-05       3.3475E-05       1.2895E-04       1.9421E-04       1.5021E-05       1.7126E-05       7.8356E-04       1.2506E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.7500E-01      -1.1759E-05       3.3476E-05       1.2916E-04       1.9452E-04       1.4949E-05       1.7126E-05       7.8258E-04       1.2506E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.8500E-01      -1.1759E-05       3.3476E-05       1.2938E-04       1.9484E-04       1.4880E-05       1.7126E-05       7.8158E-04       1.2506E-08       1.0343E-03       2.0000E-04       2.0000E-04
       5.9500E-01      -1.1759E-05       3.3476E-05       1.2959E-04       1.9517E-04       1.4814E-05       1.7126E-05       7.8055E-04       1.2505E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.0500E-01      -1.1760E-05       3.3476E-05       1.2982E-04       1.9551E-04       1.4749E-05       1.7126E-05       7.7949E-04       1.2505E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.1500E-01      -1.1760E-05       3.3477E-05       1.3005E-04       1.9585E-04       1.4688E-05       1.7127E-05       7.7842E-04       1.2505E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.2500E-01      -1.1760E-05       3.3477E-05       1.3028E-04       1.9620E-04       1.4629E-05       1.7127E-05       7.7731E-04       1.2505E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.3500E-01      -1.1761E-05       3.3477E-05       1.3052E-04       1.9655E-04       1.4572E-05       1.7127E-05       7.7618E-04       1.2505E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.4500E-01      -1.1761E-05       3.3478E-05       1.3076E-04       1.9691E-04       1.4518E-05       1.7127E-05       7.7503E-04       1.2505E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.5500E-01      -1.1761E-05       3.3478E-05       1.3100E-04       1.9728E-04       1.4467E-05       1.7127E-05       7.7386E-04       1.2505E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.6500E-01      -1.1762E-05       3.3478E-05       1.3125E-04       1.9766E-04       1.4419E-05       1.7128E-05       7.7266E-04       1.2505E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.7500E-01      -1.1762E-05       3.3478E-05       1.3151E-04       1.9804E-04       1.4373E-05       1.7128E-05       7.7143E-04       1.2505E-08       1.0343E-03       2.0000E-04       2.0000E-04
       6.8500E-01      -1.1762E-05       3.3479E-05       1.3177E-04       1.9842E-04       1.4329E-05       1.7128E-05       7.7019E-04       1.2505E-08       1.0343E-03       2.0000E-04       2.0000E-04
