# Time          4.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       2.0500E-01       5.9929E+00      -5.9745E+00      -4.6830E+00      -3.9147E+00      -3.7320E+00      -4.6990E+00      -4.8199E+00      -3.0929E+00      -9.1893E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.9427E+00      -8.2324E+00      -8.2355E+00      -7.4950E+00      -1.0473E+01      -5.0116E+00      -1.5715E+01      -7.8082E+00      -8.2985E+00      -8.7494E+00      -9.2248E+00      -7.1141E+00      -1.2124E+01      -6.9002E+00      -1.0238E+01      -1.1918E+01      -7.9784E+00      -9.2849E+00      -9.8562E+00      -7.7777E+00      -1.0384E+01      -7.9685E+00      -1.1947E+01      -7.9882E+00
       2.1500E-01       6.0256E+00      -6.0071E+00      -4.6815E+00      -3.9143E+00      -3.7317E+00      -4.6990E+00      -4.8035E+00      -3.0927E+00      -9.3038E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.9920E+00      -8.2165E+00      -8.3174E+00      -7.4946E+00      -1.0473E+01      -4.9775E+00      -1.5633E+01      -7.8249E+00      -8.3311E+00      -8.7003E+00      -9.2248E+00      -7.1137E+00      -1.2108E+01      -6.9000E+00      -1.0189E+01      -1.1886E+01      -7.9458E+00      -9.2181E+00      -9.7891E+00      -7.7432E+00      -1.0317E+01      -7.9339E+00      -1.1880E+01      -7.9540E+00
       2.2500E-01       6.0523E+00      -6.0339E+00      -4.6803E+00      -3.9139E+00      -3.7314E+00      -4.6990E+00      -4.7897E+00      -3.0926E+00      -9.3980E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.0328E+00      -8.2036E+00      -8.3849E+00      -7.4944E+00      -1.0473E+01      -4.9496E+00      -1.5566E+01      -7.8389E+00      -8.3579E+00      -8.6597E+00      -9.2248E+00      -7.1133E+00      -1.2095E+01      -6.8999E+00      -1.0148E+01      -1.1859E+01      -7.9190E+00      -9.1634E+00      -9.7341E+00      -7.7150E+00      -1.0262E+01      -7.9057E+00      -1.1825E+01      -7.9259E+00
       2.3500E-01       6.0723E+00      -6.0538E+00      -4.6796E+00      -3.9136E+00      -3.7311E+00      -4.6990E+00      -4.7792E+00      -3.0925E+00      -9.4687E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.0635E+00      -8.1944E+00      -8.4356E+00      -7.4942E+00      -1.0472E+01      -4.9289E+00      -1.5516E+01      -7.8496E+00      -8.3779E+00      -8.6292E+00      -9.2248E+00      -7.1130E+00      -1.2085E+01      -6.8998E+00      -1.0117E+01      -1.1839E+01      -7.8990E+00      -9.1227E+00      -9.6932E+00      -7.6941E+00      -1.0221E+01      -7.8846E+00      -1.1784E+01      -7.9051E+00
       2.4500E-01       6.0838E+00      -6.0653E+00      -4.6792E+00      -3.9133E+00      -3.7311E+00      -4.6990E+00      -4.7732E+00      -3.0924E+00      -9.5153E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.0871E+00      -8.1950E+00      -8.4707E+00      -7.4941E+00      -1.0472E+01      -4.9170E+00      -1.5486E+01      -7.8618E+00      -8.3894E+00      -8.6117E+00      -9.2248E+00      -7.1127E+00      -1.2086E+01      -6.8997E+00      -1.0100E+01      -1.1827E+01      -7.8875E+00      -9.0993E+00      -9.6698E+00      -7.6821E+00      -1.0198E+01      -7.8725E+00      -1.1761E+01      -7.8932E+00
       2.5500E-01       6.0837E+00      -6.0652E+00      -4.6792E+00      -3.9131E+00      -3.7312E+00      -4.6990E+00      -4.7736E+00      -3.0924E+00      -9.8627E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.4348E+00      -8.5431E+00      -8.8183E+00      -7.4942E+00      -1.0472E+01      -4.9172E+00      -1.5487E+01      -8.2096E+00      -8.3893E+00      -8.6123E+00      -9.2248E+00      -7.1126E+00      -1.2434E+01      -6.8997E+00      -1.0100E+01      -1.1827E+01      -7.8876E+00      -9.0997E+00      -9.6702E+00      -7.6824E+00      -1.0198E+01      -7.8725E+00      -1.1761E+01      -7.8933E+00
       2.6500E-01       6.0837E+00      -6.0652E+00      -4.6792E+00      -3.9130E+00      -3.7313E+00      -4.6990E+00      -4.7736E+00      -3.0924E+00      -9.9075E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.4797E+00      -8.5879E+00      -8.8631E+00      -7.4943E+00      -1.0473E+01      -4.9172E+00      -1.5487E+01      -8.2545E+00      -8.3893E+00      -8.6123E+00      -9.2248E+00      -7.1124E+00      -1.2479E+01      -6.8997E+00      -1.0100E+01      -1.1827E+01      -7.8877E+00      -9.0997E+00      -9.6703E+00      -7.6825E+00      -1.0198E+01      -7.8723E+00      -1.1761E+01      -7.8933E+00
       2.7500E-01       6.0837E+00      -6.0652E+00      -4.6792E+00      -3.9128E+00      -3.7314E+00      -4.6990E+00      -4.7736E+00      -3.0924E+00      -9.9115E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.4837E+00      -8.5919E+00      -8.8671E+00      -7.4944E+00      -1.0473E+01      -4.9172E+00      -1.5487E+01      -8.2585E+00      -8.3893E+00      -8.6123E+00      -9.2248E+00      -7.1122E+00      -1.2483E+01      -6.8997E+00      -1.0100E+01      -1.1827E+01      -7.8876E+00      -9.0996E+00      -9.6704E+00      -7.6826E+00      -1.0197E+01      -7.8721E+00      -1.1761E+01      -7.8933E+00
       2.8500E-01       6.0837E+00      -6.0652E+00      -4.6792E+00      -3.9126E+00      -3.7315E+00      -4.6990E+00      -4.7736E+00      -3.0924E+00      -9.9119E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.4840E+00      -8.5922E+00      -8.8675E+00      -7.4945E+00      -1.0473E+01      -4.9171E+00      -1.5487E+01      -8.2588E+00      -8.3893E+00      -8.6123E+00      -9.2248E+00      -7.1121E+00      -1.2483E+01      -6.8997E+00      -1.0100E+01      -1.1827E+01      -7.8876E+00      -9.0996E+00      -9.6705E+00      -7.6827E+00      -1.0197E+01      -7.8720E+00      -1.1761E+01      -7.8933E+00
       2.9500E-01       6.0837E+00      -6.0652E+00      -4.6792E+00      -3.9125E+00      -3.7316E+00      -4.6990E+00      -4.7736E+00      -3.0924E+00      -9.9120E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -8.4841E+00      -8.5923E+00      -8.8675E+00      -7.4946E+00      -1.0473E+01      -4.9171E+00      -1.5487E+01      -8.2589E+00      -8.3893E+00      -8.6123E+00      -9.2248E+00      -7.1119E+00      -1.2483E+01      -6.8997E+00      -1.0100E+01      -1.1827E+01      -7.8876E+00      -9.0996E+00      -9.6706E+00      -7.6828E+00      -1.0197E+01      -7.8718E+00      -1.1761E+01      -7.8933E+00
