# Time          1.0000E+00
# Units: mol/m3
    Distance        CO2(g)          
       2.7750E+00       4.3353E-05
       2.7850E+00       4.3359E-05
       2.7950E+00       4.3365E-05
       2.8050E+00       4.3370E-05
       2.8150E+00       4.3376E-05
       2.8250E+00       4.3381E-05
       2.8350E+00       4.3385E-05
       2.8450E+00       4.3390E-05
       2.8550E+00       4.3394E-05
       2.8650E+00       4.3397E-05
       2.8750E+00       4.3401E-05
       2.8850E+00       4.3404E-05
       2.8950E+00       4.3407E-05
       2.9050E+00       4.3410E-05
       2.9150E+00       4.3413E-05
       2.9250E+00       4.3415E-05
       2.9350E+00       4.3417E-05
       2.9450E+00       4.3418E-05
       2.9550E+00       4.3420E-05
       2.9650E+00       4.3421E-05
       2.9750E+00       4.3422E-05
       2.9850E+00       4.3422E-05
       2.9950E+00       4.3422E-05
