# Time          1.5000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       9.9500E-01       5.4568E-07       1.3470E-08       1.5386E-05       3.4229E-06
       1.0050E+00       5.4431E-07       1.3133E-08       1.5329E-05       3.4807E-06
       1.0150E+00       5.4289E-07       1.2806E-08       1.5272E-05       3.5381E-06
       1.0250E+00       5.4145E-07       1.2489E-08       1.5216E-05       3.5950E-06
       1.0350E+00       5.3996E-07       1.2182E-08       1.5161E-05       3.6514E-06
       1.0450E+00       5.3844E-07       1.1884E-08       1.5106E-05       3.7073E-06
       1.0550E+00       5.3689E-07       1.1596E-08       1.5052E-05       3.7626E-06
       1.0650E+00       5.3529E-07       1.1318E-08       1.4998E-05       3.8173E-06
       1.0750E+00       5.3367E-07       1.1050E-08       1.4945E-05       3.8714E-06
       1.0850E+00       5.3200E-07       1.0791E-08       1.4892E-05       3.9249E-06
       1.0950E+00       5.3030E-07       1.0541E-08       1.4840E-05       3.9778E-06
       1.1050E+00       5.2857E-07       1.0302E-08       1.4789E-05       4.0300E-06
       1.1150E+00       5.2679E-07       1.0071E-08       1.4738E-05       4.0815E-06
       1.1250E+00       5.2499E-07       9.8494E-09       1.4689E-05       4.1324E-06
       1.1350E+00       5.2314E-07       9.6369E-09       1.4639E-05       4.1826E-06
       1.1450E+00       5.2126E-07       9.4333E-09       1.4591E-05       4.2321E-06
       1.1550E+00       5.1935E-07       9.2384E-09       1.4543E-05       4.2808E-06
       1.1650E+00       5.1740E-07       9.0521E-09       1.4496E-05       4.3289E-06
       1.1750E+00       5.1542E-07       8.8741E-09       1.4450E-05       4.3762E-06
       1.1850E+00       5.1340E-07       8.7044E-09       1.4405E-05       4.4227E-06
       1.1950E+00       5.1135E-07       8.5426E-09       1.4360E-05       4.4686E-06
       1.2050E+00       5.0926E-07       8.3888E-09       1.4316E-05       4.5137E-06
       1.2150E+00       5.0714E-07       8.2425E-09       1.4273E-05       4.5580E-06
       1.2250E+00       5.0499E-07       8.1037E-09       1.4230E-05       4.6016E-06
       1.2350E+00       5.0281E-07       7.9722E-09       1.4189E-05       4.6444E-06
       1.2450E+00       5.0059E-07       7.8478E-09       1.4148E-05       4.6864E-06
       1.2550E+00       4.9834E-07       7.7302E-09       1.4108E-05       4.7277E-06
