# Time          1.0000E+01
# Units: Bars
    Distance        CO2(g)          
       2.6750E+00       6.5927E-04
       2.6850E+00       6.5919E-04
       2.6950E+00       6.5910E-04
       2.7050E+00       6.5902E-04
       2.7150E+00       6.5894E-04
       2.7250E+00       6.5886E-04
       2.7350E+00       6.5879E-04
       2.7450E+00       6.5871E-04
       2.7550E+00       6.5864E-04
       2.7650E+00       6.5857E-04
       2.7750E+00       6.5850E-04
       2.7850E+00       6.5843E-04
       2.7950E+00       6.5836E-04
       2.8050E+00       6.5830E-04
       2.8150E+00       6.5824E-04
       2.8250E+00       6.5818E-04
       2.8350E+00       6.5812E-04
       2.8450E+00       6.5807E-04
       2.8550E+00       6.5802E-04
       2.8650E+00       6.5797E-04
       2.8750E+00       6.5792E-04
       2.8850E+00       6.5788E-04
       2.8950E+00       6.5784E-04
       2.9050E+00       6.5780E-04
       2.9150E+00       6.5776E-04
       2.9250E+00       6.5773E-04
       2.9350E+00       6.5770E-04
       2.9450E+00       6.5768E-04
       2.9550E+00       6.5766E-04
       2.9650E+00       6.5765E-04
       2.9750E+00       6.5763E-04
       2.9850E+00       6.5763E-04
       2.9950E+00       6.5762E-04
