# Time          4.0000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       7.4500E-01       7.5710E-06       2.5491E-05       2.9094E-05       2.7117E-04       2.1469E-05       4.5438E-06       7.9952E-04       1.7222E-06       1.0343E-03       2.0000E-04       2.0000E-04
       7.5500E-01       7.5820E-06       2.5491E-05       3.0162E-05       2.7010E-04       2.1490E-05       4.5739E-06       7.9952E-04       1.7118E-06       1.0343E-03       2.0000E-04       2.0000E-04
       7.6500E-01       7.5927E-06       2.5491E-05       3.1243E-05       2.6901E-04       2.1510E-05       4.6041E-06       7.9953E-04       1.7015E-06       1.0343E-03       2.0000E-04       2.0000E-04
       7.7500E-01       7.6033E-06       2.5490E-05       3.2337E-05       2.6792E-04       2.1531E-05       4.6343E-06       7.9953E-04       1.6912E-06       1.0343E-03       2.0000E-04       2.0000E-04
       7.8500E-01       7.6137E-06       2.5490E-05       3.3444E-05       2.6681E-04       2.1551E-05       4.6646E-06       7.9954E-04       1.6810E-06       1.0343E-03       2.0000E-04       2.0000E-04
       7.9500E-01       7.6239E-06       2.5489E-05       3.4561E-05       2.6569E-04       2.1571E-05       4.6950E-06       7.9954E-04       1.6709E-06       1.0343E-03       2.0000E-04       2.0000E-04
       8.0500E-01       7.6339E-06       2.5489E-05       3.5690E-05       2.6456E-04       2.1592E-05       4.7254E-06       7.9955E-04       1.6608E-06       1.0343E-03       2.0000E-04       2.0000E-04
       8.1500E-01       7.6437E-06       2.5489E-05       3.6829E-05       2.6341E-04       2.1612E-05       4.7559E-06       7.9956E-04       1.6508E-06       1.0343E-03       2.0000E-04       2.0000E-04
       8.2500E-01       7.6533E-06       2.5488E-05       3.7976E-05       2.6226E-04       2.1633E-05       4.7864E-06       7.9956E-04       1.6408E-06       1.0343E-03       2.0000E-04       2.0000E-04
       8.3500E-01       7.6627E-06       2.5488E-05       3.9132E-05       2.6110E-04       2.1653E-05       4.8170E-06       7.9957E-04       1.6309E-06       1.0343E-03       2.0000E-04       2.0000E-04
       8.4500E-01       7.6720E-06       2.5488E-05       4.0296E-05       2.5994E-04       2.1673E-05       4.8477E-06       7.9957E-04       1.6211E-06       1.0343E-03       2.0000E-04       2.0000E-04
