# Time          4.0000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       2.0500E-01       4.9325E+00      -4.9141E+00      -4.6201E+00      -4.9251E+00      -3.5400E+00      -4.6910E+00      -5.7716E+00      -3.0973E+00      -6.2619E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.1357E+00      -9.5461E+00      -6.3682E+00      -7.3027E+00      -1.0281E+01      -6.0093E+00      -1.8788E+01      -8.0615E+00      -7.2381E+00      -1.0761E+01      -9.2166E+00      -8.1242E+00      -1.3442E+01      -6.9044E+00      -1.2254E+01      -1.2983E+01      -9.0388E+00      -1.1343E+01      -1.1722E+01      -8.5830E+00      -1.3453E+01      -9.9762E+00      -1.4009E+01      -8.9901E+00
       2.1500E-01       4.9364E+00      -4.9180E+00      -4.6180E+00      -4.9715E+00      -3.5382E+00      -4.6906E+00      -5.7505E+00      -3.0973E+00      -6.2466E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.1126E+00      -9.5153E+00      -6.3490E+00      -7.3009E+00      -1.0279E+01      -6.0033E+00      -1.8759E+01      -8.0346E+00      -7.2419E+00      -1.0737E+01      -9.2162E+00      -8.1706E+00      -1.3411E+01      -6.9044E+00      -1.2229E+01      -1.2979E+01      -9.0350E+00      -1.1333E+01      -1.1710E+01      -8.5753E+00      -1.3489E+01      -1.0017E+01      -1.3999E+01      -8.9842E+00
       2.2500E-01       4.9409E+00      -4.9225E+00      -4.6165E+00      -5.0149E+00      -3.5367E+00      -4.6901E+00      -5.7288E+00      -3.0973E+00      -6.2297E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.0868E+00      -9.4806E+00      -6.3276E+00      -7.2994E+00      -1.0277E+01      -5.9973E+00      -1.8728E+01      -8.0043E+00      -7.2464E+00      -1.0710E+01      -9.2158E+00      -8.2140E+00      -1.3376E+01      -6.9044E+00      -1.2203E+01      -1.2975E+01      -9.0305E+00      -1.1323E+01      -1.1698E+01      -8.5678E+00      -1.3522E+01      -1.0054E+01      -1.3989E+01      -8.9782E+00
       2.3500E-01       4.9462E+00      -4.9278E+00      -4.6155E+00      -5.0537E+00      -3.5355E+00      -4.6897E+00      -5.7057E+00      -3.0973E+00      -6.2102E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.0566E+00      -9.4398E+00      -6.3029E+00      -7.2981E+00      -1.0276E+01      -5.9909E+00      -1.8695E+01      -7.9688E+00      -7.2517E+00      -1.0682E+01      -9.2154E+00      -8.2528E+00      -1.3335E+01      -6.9044E+00      -1.2175E+01      -1.2969E+01      -9.0252E+00      -1.1311E+01      -1.1685E+01      -8.5601E+00      -1.3549E+01      -1.0087E+01      -1.3977E+01      -8.9718E+00
       2.4500E-01       4.9529E+00      -4.9345E+00      -4.6150E+00      -5.0851E+00      -3.5345E+00      -4.6893E+00      -5.6804E+00      -3.0973E+00      -6.1872E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.0202E+00      -9.3898E+00      -6.2731E+00      -7.2972E+00      -1.0275E+01      -5.9837E+00      -1.8656E+01      -7.9256E+00      -7.2584E+00      -1.0650E+01      -9.2149E+00      -8.2842E+00      -1.3286E+01      -6.9045E+00      -1.2143E+01      -1.2963E+01      -9.0185E+00      -1.1297E+01      -1.1670E+01      -8.5520E+00      -1.3567E+01      -1.0111E+01      -1.3963E+01      -8.9646E+00
       2.5500E-01       4.9618E+00      -4.9433E+00      -4.6150E+00      -5.1040E+00      -3.5340E+00      -4.6889E+00      -5.6515E+00      -3.0973E+00      -6.1590E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.9744E+00      -9.3264E+00      -6.2361E+00      -7.2967E+00      -1.0275E+01      -5.9749E+00      -1.8609E+01      -7.8710E+00      -7.2673E+00      -1.0612E+01      -9.2145E+00      -8.3031E+00      -1.3222E+01      -6.9045E+00      -1.2105E+01      -1.2954E+01      -9.0096E+00      -1.1280E+01      -1.1652E+01      -8.5427E+00      -1.3568E+01      -1.0121E+01      -1.3946E+01      -8.9558E+00
       2.6500E-01       4.9701E+00      -4.9517E+00      -4.6150E+00      -5.1226E+00      -3.5335E+00      -4.6884E+00      -5.6255E+00      -3.0973E+00      -6.1349E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.9335E+00      -9.2687E+00      -6.2036E+00      -7.2962E+00      -1.0274E+01      -5.9665E+00      -1.8567E+01      -7.8217E+00      -7.2756E+00      -1.0578E+01      -9.2141E+00      -8.3217E+00      -1.3164E+01      -6.9045E+00      -1.2071E+01      -1.2946E+01      -9.0012E+00      -1.1263E+01      -1.1635E+01      -8.5338E+00      -1.3570E+01      -1.0131E+01      -1.3929E+01      -8.9474E+00
       2.7500E-01       4.9780E+00      -4.9596E+00      -4.6150E+00      -5.1406E+00      -3.5331E+00      -4.6880E+00      -5.6023E+00      -3.0973E+00      -6.1143E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.8971E+00      -9.2166E+00      -6.1752E+00      -7.2958E+00      -1.0274E+01      -5.9586E+00      -1.8528E+01      -7.7775E+00      -7.2835E+00      -1.0547E+01      -9.2137E+00      -8.3397E+00      -1.3112E+01      -6.9045E+00      -1.2040E+01      -1.2938E+01      -8.9934E+00      -1.1247E+01      -1.1619E+01      -8.5254E+00      -1.3572E+01      -1.0141E+01      -1.3913E+01      -8.9395E+00
       2.8500E-01       4.9853E+00      -4.9669E+00      -4.6150E+00      -5.1579E+00      -3.5327E+00      -4.6876E+00      -5.5815E+00      -3.0973E+00      -6.0969E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.8651E+00      -9.1700E+00      -6.1504E+00      -7.2953E+00      -1.0273E+01      -5.9513E+00      -1.8492E+01      -7.7381E+00      -7.2908E+00      -1.0519E+01      -9.2132E+00      -8.3570E+00      -1.3066E+01      -6.9045E+00      -1.2011E+01      -1.2930E+01      -8.9861E+00      -1.1232E+01      -1.1604E+01      -8.5177E+00      -1.3575E+01      -1.0151E+01      -1.3898E+01      -8.9322E+00
       2.9500E-01       4.9920E+00      -4.9736E+00      -4.6150E+00      -5.1744E+00      -3.5323E+00      -4.6872E+00      -5.5630E+00      -3.0973E+00      -6.0823E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -6.8371E+00      -9.1287E+00      -6.1291E+00      -7.2950E+00      -1.0273E+01      -5.9447E+00      -1.8460E+01      -7.7035E+00      -7.2975E+00      -1.0493E+01      -9.2128E+00      -8.3735E+00      -1.3024E+01      -6.9045E+00      -1.1986E+01      -1.2924E+01      -8.9794E+00      -1.1219E+01      -1.1590E+01      -8.5107E+00      -1.3578E+01      -1.0161E+01      -1.3885E+01      -8.9256E+00
