# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  5.24398E-02                5.09222408590445E+00   4.02803595829189E-06   7.02050009471031E-05   1.12890502139593E-04   1.69581923219474E-04
  5.44027E-02                5.09612169377906E+00   3.97744018646456E-06   6.88997805132396E-05   1.12890866654942E-04   1.69582460414238E-04
  5.61721E-02                5.09963842008333E+00   3.93188164433964E-06   6.77433094952501E-05   1.12891189992462E-04   1.69582938714756E-04
  5.86830E-02                5.10461806932801E+00   3.86735552871532E-06   6.61416147307579E-05   1.12891638755578E-04   1.69583605930008E-04
  6.10495E-02                5.10931559681764E+00   3.80666077039757E-06   6.46657211916921E-05   1.12892070402840E-04   1.69584245043311E-04
  6.40624E-02                5.11528591756635E+00   3.72962576522101E-06   6.28395456841375E-05   1.12892611796303E-04   1.69585049437192E-04
  6.68259E-02                5.12076797165032E+00   3.65920653537308E-06   6.12074953574064E-05   1.12893116999794E-04   1.69585797491539E-04
  7.00080E-02                5.12707260704372E+00   3.57849433878646E-06   5.93831996686062E-05   1.12893691667618E-04   1.69586650692153E-04
  7.29195E-02                5.13284568375981E+00   3.50501373170312E-06   5.77584839887527E-05   1.12894223986830E-04   1.69587439027715E-04
  7.61916E-02                5.13932265427577E+00   3.42298822827980E-06   5.59869903325718E-05   1.12894815454124E-04   1.69588317036742E-04
  7.91824E-02                5.14524259163783E+00   3.34856310596003E-06   5.44118842400438E-05   1.12895361777990E-04   1.69589126106130E-04
  8.26440E-02                5.15207281432559E+00   3.26328188324064E-06   5.26458990885226E-05   1.12895986000193E-04   1.69590052973070E-04
  8.57028E-02                5.15810313002868E+00   3.18871515946394E-06   5.11286360264797E-05   1.12896544753882E-04   1.69590879932076E-04
  8.91572E-02                5.16488265809933E+00   3.10567938007224E-06   4.94685769235114E-05   1.12897167138297E-04   1.69591803617091E-04
  9.25031E-02                5.17142414755171E+00   3.02653942009196E-06   4.79092145644918E-05   1.12897773381431E-04   1.69592701544508E-04
  9.62798E-02                5.17875357745472E+00   2.93911922060332E-06   4.62088258381336E-05   1.12898451653797E-04   1.69593707732182E-04
  1.00090E-01                5.18608936399521E+00   2.85320381447011E-06   4.45522174900088E-05   1.12899137377191E-04   1.69594723237757E-04
  1.03943E-01                5.19343707154872E+00   2.76898304913475E-06   4.29343700986347E-05   1.12899828653585E-04   1.69595746502393E-04
  1.07835E-01                5.20076746675986E+00   2.68707945198785E-06   4.13576125702420E-05   1.12900523996265E-04   1.69596775141469E-04
  1.12162E-01                5.20877672132887E+00   2.60044267465221E-06   3.96721367568914E-05   1.12901291388752E-04   1.69597911131255E-04
  1.15972E-01                5.21571886880186E+00   2.52806025156472E-06   3.82390957727539E-05   1.12901967325639E-04   1.69598907152987E-04
  1.20182E-01                5.22321595539021E+00   2.45330254883059E-06   3.67148212080760E-05   1.12902705903583E-04   1.69599998581881E-04
  1.24418E-01                5.23056793033353E+00   2.38390855328640E-06   3.52390901743611E-05   1.12903444951188E-04   1.69601087855313E-04
  1.28836E-01                5.23799825822807E+00   2.31839680164523E-06   3.37609765581666E-05   1.12904209194973E-04   1.69602213667526E-04
  1.33025E-01                5.24482053615826E+00   2.26282719011006E-06   3.24118379146120E-05   1.12904927101861E-04   1.69603267689645E-04
  1.37814E-01                5.25228661072913E+00   2.20818838332072E-06   3.09354168989602E-05   1.12905741819266E-04   1.69604467024706E-04
  1.42112E-01                5.25872556835297E+00   2.16650476032236E-06   2.96610090555458E-05   1.12906461658811E-04   1.69605519016015E-04
  1.47129E-01                5.26584444024210E+00   2.12781110190844E-06   2.82399982409514E-05   1.12907300144146E-04   1.69606750759811E-04
  1.51376E-01                5.27160260884361E+00   2.10213121028535E-06   2.70831284555856E-05   1.12907991696996E-04   1.69607755918957E-04
  1.55701E-01                5.27717679598465E+00   2.08303256285512E-06   2.59504954650809E-05   1.12908696242478E-04   1.69608784545879E-04
  1.60429E-01                5.28292293884405E+00   2.07006863251845E-06   2.47652463266388E-05   1.12909462750778E-04   1.69609904742298E-04
  1.64879E-01                5.28804405613505E+00   2.06437721701473E-06   2.36943420626067E-05   1.12910169816216E-04   1.69610931984254E-04
  1.70181E-01                5.29374064382738E+00   2.06580920052855E-06   2.24793329050274E-05   1.12911021592990E-04   1.69612177843830E-04
  1.74638E-01                5.29827660634979E+00   2.07222338406340E-06   2.14994251725730E-05   1.12911708746835E-04   1.69613169723293E-04
  1.79303E-01                5.30275360002310E+00   2.08391681029970E-06   2.05170116270876E-05   1.12912440853861E-04   1.69614235116240E-04
  1.84147E-01                5.30712978187124E+00   2.10062139195638E-06   1.95423046218505E-05   1.12913196609635E-04   1.69615334404916E-04
  1.89470E-01                5.31163744688211E+00   2.12349984518608E-06   1.85231183355305E-05   1.12914029132897E-04   1.69616547761396E-04
  1.94149E-01                5.31539579779608E+00   2.14649786310133E-06   1.76656647708711E-05   1.12914739482053E-04   1.69617574437521E-04
  1.99292E-01                5.31928916421310E+00   2.17451097095496E-06   1.67680104189354E-05   1.12915540329216E-04   1.69618742232204E-04
  2.04302E-01                5.32288234586737E+00   2.20380510939345E-06   1.59340145234570E-05   1.12916308954168E-04   1.69619858938162E-04
  2.09838E-01                5.32662622393998E+00   2.23792888489727E-06   1.50595460303574E-05   1.12917171093648E-04   1.69621117813085E-04
  2.14569E-01                5.32968109408075E+00   2.26799395445014E-06   1.43454762495833E-05   1.12917884310374E-04   1.69622150339888E-04
  2.19458E-01                5.33268976675609E+00   2.29969512205874E-06   1.36412618231845E-05   1.12918641129942E-04   1.69623254766675E-04
  2.24934E-01                5.33588591206035E+00   2.33558502592646E-06   1.28929341711160E-05   1.12919497974935E-04   1.69624509355743E-04
